4,0,0,-50,-50,-50,-50,4,-50,-5
0,0,4,-50,-50,-50,-50,0,-50,-5
0,0,0,0,0,0,-50,4,-50,0
4,0,-5,0,-5,0,4,-5,-50,0
0,0,-5,-50,-50,0,0,4,4,-5
0,-50,0,0,0,0,-5,0,-50,0
4,-50,-50,0,-5,0,0,-5,-50,-5
-50,-5,4,0,0,0,4,-50,-5,0
-50,0,0,0,0,0,0,-5,-50,0
-50,0,0,0,0,0,4,4,-50,0
-50,0,4,-50,-50,0,0,-50,-50,0
-50,0,0,0,0,0,-5,0,-50,0
-50,0,0,0,0,0,4,0,-50,-50
-50,0,4,-50,-50,-50,-50,0,-5,0
-50,0,-50,-50,0,0,-50,0,0,0
-50,0,-50,-50,0,0,-50,-50,0,0
-50,0,-50,-50,0,0,-50,-50,0,0
-50,0,-50,-50,0,0,-50,0,0,0
-50,0,-50,-5,0,0,-50,-50,0,0
-50,0,-50,4,0,4,-50,-50,0,0
-50,0,-50,0,0,0,-50,4,-50,0
-50,-5,-50,-5,-5,-50,-50,-5,-50,-5
-50,0,-50,4,0,4,-50,4,-50,-5
-50,0,0,0,0,0,-5,0,-50,0
-50,-50,-5,0,-5,0,4,-5,-50,0
-50,0,-5,4,0,4,0,4,4,-5
-50,0,0,0,0,0,0,-50,-50,0
-50,0,-5,0,-5,0,4,4,-50,-5
-50,0,4,4,0,4,0,-50,-5,0
-50,0,0,0,0,0,0,-50,-50,0
-50,-5,-5,0,0,0,4,-5,-50,0
-50,-50,4,4,0,4,0,4,-50,0
-50,0,0,0,0,0,0,0,-50,0
-50,-5,0,0,0,0,-50,4,-50,-50
-50,0,4,-50,-50,0,-50,0,-5,0
-50,0,0,-50,-50,-50,-50,0,0,0
-50,0,-5,-50,-50,-50,-50,-50,0,0
-50,0,0,-50,-50,0,-50,-50,0,0
-50,0,0,-50,-50,0,-50,-5,0,0
-50,0,-5,-50,-50,0,-50,-50,0,0
-50,0,0,-50,-50,0,-50,-50,0,0
-50,0,0,-50,-50,0,-50,4,-50,0
0,0,-5,-5,-5,-50,-50,-5,-50,-5
0,0,0,0,0,0,4,0,-50,-5
0,0,0,0,0,0,0,0,-50,0
0,0,-50,0,-5,0,4,4,-50,0
0,0,-50,0,0,0,0,0,-5,-5
0,0,4,0,0,-50,0,0,-50,0
0,-5,0,0,-5,-50,4,-5,-50,-5
0,-5,0,0,0,-50,0,0,-5,0
0,0,0,0,0,-50,0,0,-50,0
-50,0,-5,0,0,-50,4,4,-50,0
4,0,4,0,0,-50,0,-50,-50,0
0,0,0,0,0,-50,0,0,-50,0
4,0,-50,0,0,-50,4,-5,-50,-50
0,0,4,0,0,0,-5,-50,-50,0
0,0,-50,-50,0,0,-50,-50,-50,0
0,0,-50,-50,0,0,-50,-50,-50,0
0,0,-50,-50,0,0,-50,-50,-50,0
0,0,-50,-50,0,0,-50,-50,-50,0
0,0,-50,-5,0,0,-50,-50,-50,0
0,0,-50,0,0,0,-50,-50,-50,0
0,0,-50,0,0,0,-50,-5,-50,0
0,-5,-50,-5,-5,-50,-50,-5,-50,-5
0,0,0,0,0,0,4,0,-50,-5
0,0,0,0,0,0,-5,0,-50,0
-50,-50,-50,0,-5,0,0,-5,-50,0
0,0,0,-50,-50,0,-5,4,4,-5
0,-50,0,0,0,0,-5,-50,-50,0
0,-50,0,0,-5,0,0,4,-50,-5
-50,0,4,0,0,0,4,0,-5,0
0,0,0,0,0,0,0,0,-50,0
0,-5,0,0,0,0,0,-50,-50,0
0,-5,4,0,0,0,4,4,-50,0
0,0,0,0,0,0,0,0,-50,0
0,-5,-50,0,0,0,4,4,-50,0
-50,0,4,0,0,0,-5,0,-5,-50
-50,0,0,-50,0,0,-5,0,0,0
-50,0,0,-50,4,0,4,-50,0,0
-50,0,4,-50,0,0,0,-50,0,0
-50,0,0,-50,0,0,-5,-50,0,0
-50,0,0,-50,0,0,4,-50,0,0
-50,0,0,-5,0,0,0,-50,0,0
0,0,4,0,0,0,-5,4,-50,0
0,0,0,-5,-5,-50,4,-5,-50,-5
0,0,0,0,0,0,-5,0,-50,-5
0,0,0,0,0,0,0,4,-50,0
